,urls,result
0,home.nl,Redirect
1,zeelandnet.nl,Redirect
2,xs4all.nl,Redirect
3,kliksafe.nl,Redirect
4,chello.nl,Redirect
5,telenet.be,Redirect
6,hetnet.nl,Internal server problems
7,planet.nl,Internal server problems
8,ibmail.nl,Internal server problems
9,ziggo.nl,Redirect
10,svdl.nl,Redirect
11,siersema.nl,Redirect
12,outlook.com,Redirect
13,vanhoekmontage.nl,Working
14,link.speedlinq.nl,Internal server problems
15,tiscali.nl,Redirect
16,yahoo.nl,Redirect
17,klijnvankampen.nl,Redirect
18,dds.nl,Redirect
19,rijke.biz,Internal server problems
20,telfort.nl,Redirect
21,pallasathene.nl,Working
22,dspmanagementsupport.nl,Redirect
23,versatel.nl,Redirect
24,schrijfburo.nl,Redirect
25,meng.nl,Working
26,kabelfoon.net,Internal server problems
27,tref.nl,Internal server problems
28,zonnet.nl,Redirect
29,ezorg.nl,Redirect
30,colorsathome.nl,Redirect
31,kliksafe.nl,Redirect
32,wxs.nl,Internal server problems
33,12move.nl,Redirect
34,iae.nl,Internal server problems
35,bandenservicezuidwest.nl,Redirect
36,vaart.net,Internal server problems
37,euronet.nl,Internal server problems
38,hensel.nl,Redirect
39,planet.nl,Internal server problems
40,bringlogistics.nl,Internal server problems
41,casema.nl,Redirect
42,live.nl,Redirect
43,ve-advies.nl,Internal server problems
44,abv.bg,Redirect
45,jpdebruijntransport.nl,Working
46,solcon.nl,Redirect
47,foostdijk.nl,Working
48,svdl.nl,Redirect
49,siersema.nl,Redirect
50,outlook.com,Redirect
51,vanhoekmontage.nl,Working
52,link.speedlinq.nl,Internal server problems
53,tiscali.nl,Redirect
54,yahoo.nl,Redirect
55,orange.nl,Redirect
56,kabelfoon.nl,Redirect
57,cpitranport.nl,Internal server problems
58,kpnmail.nl,Redirect
59,dekort.dussen.knb.nl,Internal server problems
60,live.nl,Redirect
61,xs4all.nl,Redirect
62,fillo.net,Redirect
63,hotmail.com,Redirect
64,myweb.nl,Internal server problems
65,interestate.nl,Internal server problems
66,texel.com,Working
67,quicknet.nl,Redirect
68,vke-apeldoorn.nl,Not working
69,apotheekscheemda.nl,Redirect
70,wxs.nl,Internal server problems
71,geurtstrucks.com,Redirect
72,bergrie.nl,Redirect
73,tiscali.nl,Redirect
74,upcmail.nl,Internal server problems
75,consunet.nl,Working
76,kpnplanet.nl,Internal server problems
77,club.tip.nl,Internal server problems
78,vaart.net,Internal server problems
79,upcmail.nl,Internal server problems
80,tiscali.nl,Redirect
81,blaak.nl,Redirect
82,bike2businesslease.nl,Not working
83,klijnvankampen.nl,Redirect
84,dds.nl,Redirect
85,rijke.biz,Internal server problems
86,telfort.nl,Redirect
87,pallasathene.nl,Working
88,dspmanagementsupport.nl,Redirect
89,versatel.nl,Redirect
90,schrijfburo.nl,Redirect
91,meng.nl,Working
92,kabelfoon.net,Internal server problems
93,tref.nl,Internal server problems
94,zonnet.nl,Redirect
95,ezorg.nl,Redirect
96,colorsathome.nl,Redirect
97,kliksafe.nl,Redirect
98,wxs.nl,Internal server problems
99,12move.nl,Redirect
100,iae.nl,Internal server problems
101,bandenservicezuidwest.nl,Redirect
102,vaart.net,Internal server problems
103,euronet.nl,Internal server problems
104,hensel.nl,Redirect
105,planet.nl,Internal server problems
106,bringlogistics.nl,Internal server problems
107,casema.nl,Redirect
108,live.nl,Redirect
109,ve-advies.nl,Internal server problems
110,abv.bg,Redirect
111,dekort.dussen.knb.nl,Internal server problems
112,live.nl,Redirect
113,xs4all.nl,Redirect
114,fillo.net,Redirect
115,hotmail.com,Redirect
116,myweb.nl,Internal server problems
117,interestate.nl,Internal server problems
118,texel.com,Working
119,quicknet.nl,Redirect
120,vke-apeldoorn.nl,Not working
121,apotheekscheemda.nl,Redirect
122,wxs.nl,Internal server problems
123,geurtstrucks.com,Redirect
124,bergrie.nl,Redirect
125,tiscali.nl,Redirect
126,upcmail.nl,Internal server problems
127,consunet.nl,Working
128,kpnplanet.nl,Internal server problems
129,club.tip.nl,Internal server problems
130,vaart.net,Internal server problems
131,upcmail.nl,Internal server problems
132,tiscali.nl,Redirect
133,blaak.nl,Redirect
134,bike2businesslease.nl,Not working
135,klijnvankampen.nl,Redirect
136,dds.nl,Redirect
137,rijke.biz,Internal server problems
138,telfort.nl,Redirect
139,pallasathene.nl,Working
140,dspmanagementsupport.nl,Redirect
141,versatel.nl,Redirect
142,schrijfburo.nl,Redirect
143,meng.nl,Working
144,kabelfoon.net,Internal server problems
145,tref.nl,Internal server problems
146,zonnet.nl,Redirect
147,ezorg.nl,Redirect
148,colorsathome.nl,Redirect
149,kliksafe.nl,Redirect
150,wxs.nl,Internal server problems
151,12move.nl,Redirect
152,iae.nl,Internal server problems
153,bandenservicezuidwest.nl,Redirect
154,vaart.net,Internal server problems
155,euronet.nl,Internal server problems
156,hensel.nl,Redirect
157,planet.,Internal server problems
