urls,result,redirect_urls
home.nl,Redirect,https://www.ziggo.nl/
zeelandnet.nl,Redirect,http://www.zeelandnet.nl/
xs4all.nl,Redirect,https://www.xs4all.nl/
kliksafe.nl,Redirect,https://www.kliksafe.nl/
chello.nl,Redirect,https://www.ziggo.nl/
telenet.be,Redirect,https://www2.telenet.be/nl/
ziggo.nl,Redirect,https://www.ziggo.nl/
svdl.nl,Redirect,https://www.seinstravandelaar.nl/
siersema.nl,Redirect,http://www.siersemaonroerendgoed.nl/nl/home
outlook.com,Redirect,https://outlook.live.com/owa/
vanhoekmontage.nl,Working, 
tiscali.nl,Redirect,https://www.telfort.nl/
yahoo.nl,Redirect,https://www.yahoo.com/
klijnvankampen.nl,Redirect,https://www.klijnvankampen.nl/
dds.nl,Redirect,https://dds.nl/
telfort.nl,Redirect,https://www.telfort.nl/
pallasathene.nl,Working, 
dspmanagementsupport.nl,Redirect,https://www.dspmanagementsupport.nl/
versatel.nl,Redirect,https://www.tele2.nl/
schrijfburo.nl,Redirect,http://www.schrijfburo.nl/
meng.nl,Working, 
zonnet.nl,Redirect,https://www.tele2.nl/
ezorg.nl,Redirect,https://www.ezorg.nl/
colorsathome.nl,Redirect,https://www.colorsathome.nl/
12move.nl,Redirect,https://www.telfort.nl/
bandenservicezuidwest.nl,Redirect,https://www.bandenservicezuidwest.nl/
hensel.nl,Redirect,https://www.henselhosting.nl/
casema.nl,Redirect,https://www.ziggo.nl/
live.nl,Redirect,https://outlook.live.com/owa/
abv.bg,Redirect,https://www.abv.bg/
jpdebruijntransport.nl,Working, 
solcon.nl,Redirect,https://www.solcon.nl/particulier/
foostdijk.nl,Working, 
orange.nl,Redirect,https://www.orange.com/fr/accueil
kabelfoon.nl,Redirect,https://www.caiway.nl/
kpnmail.nl,Redirect,https://webmail.kpnmail.nl/mail/logon.asp
gmail.com,Redirect,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1
fillo.net,Redirect,http://www.fillo.net/
hotmail.com,Redirect,https://outlook.live.com/owa/
texel.com,Working, 
quicknet.nl,Redirect,https://www.ziggo.nl/
vke-apeldoorn.nl,Not working, 
apotheekscheemda.nl,Redirect,https://apotheekscheemda.leef.nl/
geurtstrucks.com,Redirect,http://www.geurtstrucks.com/en/home
bergrie.nl,Redirect,https://www.bruwise.nl/
consunet.nl,Working, 
blaak.nl,Redirect,https://blaak.nl/
bike2businesslease.nl,Not working, 
